GKZ,Gebietsname,Wahlberechtigte,abgegeben,ungueltig,gueltig,Griss,Hofer,Hundstorfer,Khol,Lugner,Van der Bellen
G31831,St. Egyden am Steinfeld,1523,1093,27,1066,184,425,113,160,34,150
G31832,Scheiblingkirchen-Thernberg,1552,1126,43,1083,211,365,81,239,26,161
G31833,Schottwien,539,354,11,343,44,163,34,50,13,39
G31834,Schrattenbach,302,224,12,212,32,80,22,37,3,38
G31835,Schwarzau am Steinfeld,1477,1081,30,1051,145,451,161,121,31,142
G31836,Schwarzau im Gebirge,529,345,15,330,60,137,56,33,22,22
G31837,Seebenstein,1133,825,18,807,137,316,137,66,30,121
G31838,Semmering,457,266,3,263,32,106,37,50,7,31
G31839,Ternitz,11483,7874,202,7672,1088,3230,1439,474,208,1233
G31840,Thomasberg,1029,759,28,731,93,309,81,143,40,65
G31841,Trattenbach,457,341,18,323,46,140,20,99,6,12
G31842,Bürg-Vöstenhof,143,121,4,117,23,49,10,22,3,10
G31843,Warth,1261,967,38,929,157,352,79,198,24,119
G31844,Wartmannstetten,1355,1089,34,1055,168,390,100,220,19,158
G31845,Willendorf,772,549,10,539,84,237,66,45,14,93
G31846,Wimpassing im Schwarzatale,1225,807,12,795,99,312,212,30,20,122
G31847,Würflach,1307,974,36,938,177,327,122,151,18,143
G31848,Zöbern,1189,920,36,884,131,406,60,190,14,83
G31849,Höflein an der Hohen Wand,760,573,21,552,83,220,110,48,16,75
G31899,Wahlkarten - Neunkirchen,0,4750,97,4653,806,1459,736,641,112,899
G31900,Sankt Pölten(Land),78318,61569,1904,59665,10195,21095,6804,8801,1774,10996
G31901,Altlengbach,2230,1561,31,1530,273,597,156,200,40,264
G31902,Asperhofen,1691,1163,42,1121,173,521,60,166,49,152
G31903,Böheimkirchen,3975,2878,95,2783,489,1005,342,358,93,496
G31904,Brand-Laaben,971,688,20,668,111,271,55,100,24,107
G31905,Eichgraben,3393,2290,39,2251,487,648,184,200,53,679
G31906,Frankenfels,1627,1262,77,1185,117,368,170,326,38,166
G31907,Gerersdorf,749,581,25,556,100,171,44,127,12,102
G31909,Hofstetten-Grünau,2106,1583,69,1514,242,593,107,334,31,207
G31910,Hafnerbach,1330,1001,41,960,167,311,82,209,28,163
G31911,Haunoldstein,878,644,22,622,95,258,67,99,17,86
G31912,Herzogenburg,5950,4235,114,4121,603,1525,724,416,115,738
G31913,Inzersdorf-Getzersdorf,1229,916,25,891,157,357,94,137,24,122
G31915,Kapelln,1104,826,28,798,124,336,59,162,23,94
G31916,Karlstetten,1765,1338,39,1299,204,488,152,199,42,214
G31917,Kasten bei Böheimkirchen,1097,833,30,803,158,272,68,83,38,184
G31918,Kirchberg an der Pielach,2597,1837,72,1765,301,623,169,326,64,282
G31919,Kirchstetten,1736,1184,45,1139,216,398,109,137,32,247
G31920,Loich,491,335,18,317,48,115,41,74,5,34
G31921,Maria-Anzbach,2323,1657,31,1626,354,521,131,178,37,405
G31922,Markersdorf-Haindorf,1636,1159,31,1128,167,438,126,184,46,167
G31923,Michelbach,728,541,21,520,85,213,22,124,16,60
G31925,Neidling,1205,906,26,880,151,305,110,151,19,144
G31926,Neulengbach,6323,4221,94,4127,796,1422,313,533,114,949
G31927,Neustift-Innermanzing,1238,822,14,808,140,317,58,108,21,164
G31928,Nußdorf ob der Traisen,1438,1115,40,1075,180,426,100,169,26,174
G31929,Ober-Grafendorf,3655,2730,96,2634,420,840,418,397,83,476
G31930,Obritzberg-Rust,1870,1411,28,1383,226,513,104,289,55,196
G31932,Prinzersdorf,1274,940,19,921,179,275,139,111,21,196
G31934,Pyhra,2828,2111,65,2046,373,697,162,413,65,336
G31935,Rabenstein an der Pielach,2038,1484,71,1413,211,497,173,259,74,199
G31938,St. Margarethen an der Sierning,866,654,27,627,108,205,36,166,9,103
G31939,Schwarzenbach an der Pielach,322,260,13,247,24,115,33,54,11,10
G31940,Statzendorf,1087,804,20,784,101,298,139,93,30,123
G31941,Stössing,641,424,21,403,72,138,22,102,16,53
G31943,Traismauer,4668,3338,109,3229,449,1311,493,338,92,546
G31945,Weinburg,1100,870,28,842,144,274,154,91,35,144
G31946,Perschling,1069,799,33,766,128,332,30,149,24,103
G31947,Wilhelmsburg,5098,3521,122,3399,599,1238,537,333,94,598
G31948,Wölbling,1992,1454,51,1403,236,490,197,176,38,266
G31999,Wahlkarten - Sankt Pölten(Land),0,5193,112,5081,987,1373,624,730,120,1247
G32000,Scheibbs,33208,26342,960,25382,4030,8558,2942,5245,672,3935
G32001,Gaming,2597,1815,58,1757,285,534,473,194,39,232
G32002,Göstling an der Ybbs,1718,1257,38,1219,146,378,231,294,32,138
G32003,Gresten,1634,1104,40,1064,158,340,163,158,31,214
G32004,Gresten-Land,1220,928,41,887,131,284,76,291,26,79
G32005,Lunz am See,1522,1047,36,1011,188,285,193,192,40,113
G32006,Oberndorf an der Melk,2396,1798,75,1723,232,678,98,473,45,197
G32007,Puchenstuben,236,156,8,148,16,40,24,37,2,29
G32008,Purgstall an der Erlauf,4299,3018,94,2924,443,1185,249,516,72,459
G32009,Randegg,1534,1188,80,1108,151,383,59,364,35,116
G32010,Reinsberg,810,623,20,603,83,199,28,191,22,80
G32011,St. Anton an der Jeßnitz,998,683,45,638,61,279,70,165,16,47
G32012,St. Georgen an der Leys,1100,788,51,737,73,335,31,218,17,63
G32013,Scheibbs,3481,2409,90,2319,487,568,245,419,51,549
G32014,Steinakirchen am Forst,1877,1423,52,1371,244,475,70,332,38,212
G32015,Wang,1059,843,45,798,127,301,56,198,22,94
G32016,Wieselburg,2908,1967,61,1906,338,636,306,174,68,384
G32017,Wieselburg-Land,2631,1870,50,1820,299,759,176,304,49,233
G32018,Wolfpassing,1188,944,39,905,134,351,47,217,20,136
G32099,Wahlkarten - Scheibbs,0,2481,37,2444,434,548,347,508,47,560
G32100,Tulln,57283,44723,1263,43460,7960,15219,4611,6239,1287,8144
G32101,Absdorf,1492,1062,49,1013,181,345,137,145,41,164
G32104,Atzenbrugg,2225,1621,89,1532,261,608,108,288,36,231
G32106,Fels am Wagram,1767,1245,40,1205,215,493,130,151,60,156
G32107,Grafenwörth,2534,1817,55,1762,285,679,236,263,71,228
G32109,Großriedenthal,799,636,25,611,91,196,77,157,21,69
G32110,Großweikersdorf,2560,1894,56,1838,243,669,239,350,55,282
G32112,Judenau-Baumgarten,1659,1246,50,1196,175,485,102,179,38,217
G32114,Kirchberg am Wagram,2873,2146,81,2065,364,731,220,353,73,324
G32115,Königsbrunn am Wagram,1055,775,23,752,104,279,106,130,29,104
G32116,Königstetten,1775,1266,34,1232,263,401,133,155,34,246
G32119,Langenrohr,1768,1327,34,1293,194,545,88,252,32,182
G32120,Michelhausen,2194,1563,61,1502,238,568,96,365,41,194
G32131,Sieghartskirchen,5705,4073,125,3948,666,1530,446,539,118,649
G32132,Sitzenberg-Reidling,1677,1247,40,1207,213,454,136,223,36,145
G32134,Tulbing,2369,1779,26,1753,340,579,164,270,48,352
G32135,Tulln an der Donau,11843,7892,177,7715,1581,2527,735,921,209,1742
G32139,Würmla,1075,804,25,779,149,284,50,155,30,111
G32140,Zeiselmauer-Wolfpassing,1776,1311,26,1285,267,405,133,115,30,335
G32141,Zwentendorf an der Donau,2980,2042,95,1947,277,785,300,260,70,255
G32142,St. Andrä-Wördern,6007,4231,66,4165,927,1253,421,375,113,1076
G32143,Muckendorf-Wipfing,1150,826,23,803,159,324,101,55,26,138
G32199,Wahlkarten - Tulln,0,3920,63,3857,767,1079,453,538,76,944
G32200,Waidhofen an der Thaya,22346,17721,700,17021,2761,6617,1622,3282,616,2123
G32202,Dietmanns,953,648,18,630,81,294,123,44,17,71
G32203,Dobersberg,1370,982,49,933,136,373,68,227,35,94
G32206,Gastern,1070,798,40,758,104,321,74,147,37,75
G32207,Groß-Siegharts,2349,1487,75,1412,204,627,212,149,62,158
G32209,Karlstein an der Thaya,1242,885,26,859,118,375,64,163,41,98
G32210,Kautzen,968,716,21,695,89,299,51,147,27,82
G32212,Ludweis-Aigen,802,586,34,552,71,205,57,141,16,62
G32214,Pfaffenschlag bei Waidhofen a.d.Thaya,781,581,23,558,85,225,36,150,13,49
G32216,Raabs an der Thaya,2322,1678,76,1602,270,582,138,379,50,183
G32217,Thaya,1184,869,27,842,120,378,72,169,33,70
G32219,Vitis,2196,1575,78,1497,197,505,175,385,74,161
G32220,Waidhofen an der Thaya,4751,3220,103,3117,669,1172,221,442,100,513
G32221,Waidhofen an der Thaya-Land,1042,736,26,710,114,294,54,154,20,74
G32222,Waldkirchen an der Thaya,474,358,23,335,54,133,31,85,7,25
G32223,Windigsteig,842,610,27,583,90,211,66,133,25,58
G32299,Wahlkarten - Waidhofen an der Thaya,0,1992,54,1938,359,623,180,367,59,350
G32300,Wiener Neustadt(Land),59754,46005,1312,44693,7259,18410,5588,5541,1186,6709
G32301,Bad Fischau-Brunn,2570,1887,37,1850,404,625,204,199,41,377
G32302,Bad Schönau,598,436,12,424,47,220,30,83,11,33
G32304,Ebenfurth,2120,1349,34,1315,155,565,287,69,33,206
G32305,Eggendorf,3602,2459,50,2409,352,1143,346,155,68,345
G32306,Bad Erlach,2415,1709,44,1665,307,658,191,249,37,223
G32307,Felixdorf,3229,2101,57,2044,316,802,361,142,63,360
G32308,Gutenstein,1036,648,17,631,104,239,54,132,9,93
G32309,Hochneukirchen-Gschaidt,1383,1068,30,1038,110,530,61,249,15,73
G32310,Hochwolkersdorf,841,641,33,608,59,247,112,105,20,65
G32311,Hohe Wand,1137,837,28,809,112,348,68,146,11,124
G32312,Hollenthon,852,694,31,663,129,256,48,165,14,51
G32313,Katzelsdorf,2567,1929,54,1875,329,642,185,212,41,466
G32314,Kirchschlag in der Buckligen Welt,2349,1798,75,1723,306,767,97,353,38,162
G32315,Krumbach,1882,1471,56,1415,248,610,99,280,41,137
G32316,Lanzenkirchen,3016,2186,55,2131,382,913,242,210,51,333
G32317,Lichtenegg,854,671,38,633,117,216,16,205,15,64
G32318,Lichtenwörth,2169,1432,32,1400,189,667,196,120,27,201
G32319,Markt Piesting,2221,1601,42,1559,338,577,128,166,39,311
G32320,Matzendorf-Hölles,1622,1154,43,1111,216,494,118,138,20,125
G32321,Miesenbach,583,422,25,397,51,189,39,63,7,48
G32322,Muggendorf,424,333,10,323,47,139,22,56,12,47
G32323,Pernitz,1954,1320,35,1285,169,502,192,143,35,244
G32324,Rohr im Gebirge,382,260,12,248,36,90,25,55,14,28
G32325,Bromberg,994,760,26,734,127,320,60,142,12,73
G32326,Schwarzenbach,813,663,32,631,52,259,154,88,25,53
G32327,Sollenau,3732,2480,57,2423,346,1102,421,160,98,296
G32330,Theresienfeld,2266,1500,37,1463,213,630,240,108,45,227
G32331,Waidmannsfeld,1272,917,39,878,125,325,176,67,28,157
G32332,Waldegg,1463,1025,22,1003,193,360,156,97,30,167
G32333,Walpersbach,912,704,21,683,117,245,83,118,22,98
G32334,Weikersdorf am Steinfelde,869,661,22,639,118,319,26,100,13,63
G32335,Wiesmath,1266,946,36,910,133,371,92,180,30,104
G32336,Winzendorf-Muthmannsdorf,1498,1036,32,1004,195,354,120,90,30,215
G32337,Wöllersdorf-Steinabrückl,3254,2221,51,2170,305,1065,220,164,67,349
G32338,Zillingdorf,1609,1218,29,1189,183,503,194,101,32,176
G32399,Wahlkarten - Wiener Neustadt(Land),0,3468,58,3410,629,1118,525,431,92,615
G32400,Wien-Umgebung,88936,66716,1123,65593,13287,21569,7591,5646,1501,15999
G32401,Ebergassing,2660,1768,40,1728,254,708,312,112,46,296
G32402,Fischamend,3968,2502,59,2443,363,1051,347,132,68,482
G32403,Gablitz,3696,2460,36,2424,607,718,213,221,37,628
G32404,Gerasdorf bei Wien,8296,5769,80,5689,1070,2325,659,376,133,1126
G32405,Gramatneusiedl,2129,1361,20,1341,233,520,212,102,41,233
G32406,Himberg,5506,3757,84,3673,562,1550,547,323,79,612
G32407,Klein-Neusiedl,678,441,16,425,43,167,123,24,9,59
G32408,Klosterneuburg,19756,13820,182,13638,3614,3206,929,1457,289,4143
G32409,Lanzendorf,1269,883,15,868,144,352,145,50,31,146
G32410,Leopoldsdorf,3870,2718,47,2671,574,959,297,183,62,596
G32411,Maria-Lanzendorf,1597,1049,16,1033,191,444,127,74,28,169
G32412,Mauerbach,2905,2001,32,1969,462,531,169,230,52,525
G32413,Moosbrunn,1332,942,21,921,185,365,93,116,21,141
G32415,Pressbaum,5361,3657,56,3601,777,1080,299,311,79,1055
G32416,Purkersdorf,6996,4612,77,4535,929,1228,463,383,81,1451
G32417,Rauchenwarth,533,404,11,393,65,110,41,97,16,64
G32418,Schwadorf,1493,987,30,957,161,377,191,98,21,109
G32419,Schwechat,12242,7744,161,7583,1095,3107,1297,384,212,1488
G32421,Tullnerbach,2071,1492,19,1473,316,395,134,171,23,434
G32423,Wolfsgraben,1303,941,11,930,185,297,51,99,23,275
G32424,Zwölfaxing,1275,880,19,861,109,398,106,84,17,147
G32499,Wahlkarten - Wien-Umgebung,0,6528,91,6437,1348,1681,836,619,133,1820
G32500,Zwettl,35947,28742,1280,27462,4047,10187,2167,6646,946,3469
G32501,Allentsteig,1646,1114,44,1070,191,425,109,202,27,116
G32502,Arbesbach,1388,1011,47,964,145,385,37,272,33,92
G32503,Bärnkopf,293,209,6,203,27,74,52,18,10,22
G32504,Echsenbach,1030,797,37,760,104,265,63,222,23,83
G32505,Göpfritz an der Wild,1535,1158,55,1103,136,491,119,199,50,108
G32506,Grafenschlag,729,541,31,510,65,192,36,138,21,58
G32508,Groß Gerungs,3791,2760,151,2609,327,1106,160,621,90,305
G32509,Großgöttfritz,1150,910,26,884,110,381,59,231,37,66
G32511,Gutenbrunn,443,301,15,286,47,92,61,49,6,31
G32514,Kirchschlag,540,429,16,413,64,160,29,109,18,33
G32515,Kottes-Purk,1248,906,62,844,118,305,62,238,52,69
G32516,Langschlag,1497,1085,62,1023,117,420,100,254,32,100
G32517,Martinsberg,924,681,23,658,81,286,64,155,19,53
G32518,Ottenschlag,852,660,22,638,115,228,46,165,19,65
G32519,Altmelon,711,533,25,508,71,240,28,113,22,34
G32520,Pölla,796,574,32,542,59,230,34,159,24,36
G32521,Rappottenstein,1447,1017,63,954,144,331,66,233,45,135
G32522,Sallingberg,1074,790,31,759,110,304,38,209,34,64
G32523,Schönbach,696,545,26,519,92,180,42,137,15,53
G32524,Schwarzenau,1238,961,39,922,103,319,174,184,25,117
G32525,Schweiggers,1650,1266,62,1204,136,464,38,393,68,105
G32528,Bad Traunstein,848,632,42,590,92,193,32,179,22,72
G32529,Waldhausen,1049,757,43,714,110,274,64,170,20,76
G32530,Zwettl-Niederösterreich,9372,6519,256,6263,1042,2124,455,1420,183,1039
G32599,Wahlkarten - Zwettl,0,2586,64,2522,441,718,199,576,51,537
G3A000,Weinviertel,238913,186098,5073,181025,30645,66083,22253,28572,4882,28590
G3B000,Waldviertel,179836,142471,5428,137043,22099,49093,14626,26630,4462,20133
G3C000,Mostviertel,194248,152740,5550,147190,23594,52030,17143,26286,3896,24241
G3D000,Niederösterreich Mitte,195215,150814,4318,146496,25391,50307,18628,19899,4347,27924
G3E000,Niederösterreich Süd,158969,118504,3086,115418,18629,46262,15399,13405,3047,18676
G3F000,Wien Umgebung,177930,135686,2119,133567,29734,40203,13950,12154,2830,34696
G3G000,Niederösterreich Süd - Ost,138565,104143,2259,101884,18056,38590,12578,9751,2600,20309
G40000,Oberösterreich,1099420,771171,21125,750046,131013,263487,88419,99432,14259,153436
G40099,Wahlkarten - Oberösterreich,,103155,2198,100957,20717,26741,12696,12352,1600,26851
G40100,Linz(Stadt),140492,89183,1339,87844,15869,24911,12370,6430,1751,26513
G40101,Linz,140492,73417,1131,72286,12648,21824,10190,5174,1537,20913
G40199,Wahlkarten - Linz(Stadt,0,15766,208,15558,3221,3087,2180,1256,214,5600
G40200,Steyr(Stadt),27705,18044,342,17702,2932,6068,3227,1126,368,3981
G40201,Steyr,27705,16235,312,15923,2552,5685,2916,964,352,3454
G40299,Wahlkarten - Steyr(Stadt),0,1809,30,1779,380,383,311,162,16,527
G40300,Wels(Stadt),39780,25204,436,24768,4281,9705,3083,1775,420,5504
G40301,Wels,39780,21992,396,21596,3655,8743,2641,1526,387,4644
G40399,Wahlkarten - Wels(Stadt),0,3212,40,3172,626,962,442,249,33,860
G40400,Braunau am Inn,75498,49064,1441,47623,7542,19647,4681,7287,1073,7393
G40401,Altheim,3758,2145,57,2088,329,936,270,232,46,275
G40402,Aspach,1953,1022,46,976,150,420,56,209,17,124
G40403,Auerbach,418,284,7,277,22,137,8,73,7,30
G40404,Braunau am Inn,11793,6044,114,5930,1048,2327,726,498,119,1212
G40405,Burgkirchen,2055,1179,38,1141,157,487,81,233,25,158
G40406,Eggelsberg,1803,974,25,949,139,421,84,137,24,144
G40407,Feldkirchen bei Mattighofen,1560,983,21,962,113,472,67,177,17,116
G40408,Franking,730,452,21,431,64,182,28,95,12,50
G40409,Geretsberg,854,545,16,529,89,207,36,122,7,68
G40410,Gilgenberg am Weilhart,1027,587,21,566,76,247,25,133,19,66
G40411,Haigermoos,471,320,11,309,53,112,30,62,6,46
G40412,Handenberg,1024,641,25,616,81,249,31,162,10,83
G40413,Helpfau-Uttendorf,2386,1383,51,1332,195,623,125,199,41,149
G40414,Hochburg-Ach,2196,1202,37,1165,237,385,89,214,15,225
G40415,Höhnhart,1141,627,20,607,73,300,69,110,10,45
G40416,Jeging,497,335,5,330,55,126,31,76,5,37
G40417,Kirchberg bei Mattighofen,911,588,14,574,89,249,35,117,13,71
G40418,Lengau,3527,2136,62,2074,274,944,273,246,55,282
G40419,Lochen am See,2122,1361,41,1320,205,637,73,234,32,139
G40420,Maria Schmolln,1174,688,35,653,101,257,52,136,17,90
G40421,Mattighofen,3721,1981,57,1924,318,781,255,192,60,318
G40422,Mauerkirchen,1642,773,23,750,119,333,88,79,22,109
G40423,Mining,942,613,20,593,139,197,47,107,3,100
G40424,Moosbach,762,436,11,425,53,214,22,71,15,50
G40425,Moosdorf,1257,764,25,739,85,298,106,108,23,119
G40426,Munderfing,2281,1414,45,1369,203,567,151,243,22,183
G40427,Neukirchen an der Enknach,1729,1088,40,1048,174,478,108,145,32,111
G40428,Ostermiething,2416,1301,42,1259,191,522,105,196,30,215
G40429,Palting,759,486,19,467,59,215,28,86,18,61
G40430,Perwang am Grabensee,740,477,11,466,81,184,28,77,10,86
G40431,Pfaffstätt,766,443,13,430,77,166,41,67,20,59
G40432,Pischelsdorf am Engelbach,1288,789,33,756,98,368,51,162,34,43
G40433,Polling im Innkreis,770,495,20,475,42,248,40,101,7,37
G40434,Roßbach,768,478,23,455,57,201,66,81,10,40
G40435,Sankt Georgen am Fillmannsbach,317,188,3,185,22,101,3,46,2,11
G40436,Sankt Johann am Walde,1658,954,31,923,119,377,136,162,22,107
G40437,Sankt Pantaleon,2290,1324,39,1285,183,551,145,195,24,187
G40438,Sankt Peter am Hart,1839,1036,38,998,199,400,98,118,14,169
G40439,Sankt Radegund,474,291,15,276,46,54,10,97,10,59
G40440,Sankt Veit im Innkreis,319,207,8,199,25,86,31,36,2,19
G40441,Schalchen,2845,1640,58,1582,247,686,177,168,34,270
G40442,Schwand im Innkreis,748,453,15,438,62,181,28,99,6,62
G40443,Tarsdorf,1611,921,32,889,139,361,40,204,20,125
G40444,Treubach,564,331,14,317,32,144,19,87,11,24
G40445,Überackern,448,241,8,233,36,108,14,41,6,28
G40446,Weng im Innkreis,1144,680,30,650,81,310,62,114,3,80
G40499,Wahlkarten - Braunau am Inn,0,5764,101,5663,1105,1798,593,740,116,1311
G40500,Eferding,25627,18742,438,18304,2936,7074,2119,2490,334,3351
G40501,Alkoven,4536,2964,60,2904,496,1081,430,315,49,533
G40502,Aschach an der Donau,1644,1024,17,1007,140,364,154,119,29,201
G40503,Eferding,2892,1637,30,1607,265,553,200,214,23,352
G40504,Fraham,1845,1141,29,1112,190,443,141,97,17,224
G40505,Haibach ob der Donau,1089,675,23,652,90,236,75,120,12,119
G40506,Hartkirchen,3380,2372,74,2298,349,985,253,334,40,337
G40507,Hinzenbach,1583,1031,30,1001,140,420,109,150,19,163
G40508,Prambachkirchen,2241,1459,31,1428,211,607,138,240,29,203
G40509,Pupping,1487,978,20,958,156,394,94,127,13,174
G40510,Sankt Marienkirchen an der Polsenz,1896,1250,40,1210,175,493,126,177,20,219
G40511,Scharten,1741,1193,17,1176,184,463,127,133,25,244
G40512,Stroheim,1293,888,28,860,138,375,47,176,18,106
G40599,Wahlkarten - Eferding,0,2130,39,2091,402,660,225,288,40,476
G40600,Freistadt,53036,40059,1542,38517,6254,12735,4479,7026,723,7300
G40601,Freistadt,5999,3799,119,3680,605,1204,497,470,56,848
G40602,Grünbach,1520,939,37,902,173,322,93,150,21,143
G40603,Gutau,2195,1425,46,1379,186,468,185,249,31,260
G40604,Hagenberg im Mühlkreis,2240,1456,35,1421,244,505,169,163,43,297
G40605,Hirschbach im Mühlkreis,947,660,28,632,125,144,67,175,10,111
G40606,Kaltenberg,513,395,26,369,34,134,12,158,5,26
G40607,Kefermarkt,1662,1163,53,1110,209,377,128,197,20,179
G40608,Königswiesen,2554,1693,69,1624,186,658,142,370,30,238
G40609,Lasberg,2272,1536,54,1482,248,493,139,304,31,267
G40610,Leopoldschlag,852,603,34,569,95,191,35,157,11,80
G40611,Liebenau,1376,893,38,855,100,316,95,255,17,72
G40612,Neumarkt im Mühlkreis,2579,1735,76,1659,287,499,163,296,37,377
G40613,Pierbach,785,527,16,511,65,222,36,110,9,69
G40614,Pregarten,4241,2839,110,2729,469,1001,362,329,50,518
G40615,Rainbach im Mühlkreis,2324,1462,68,1394,266,352,176,327,18,255
G40616,Sandl,1151,790,54,736,114,259,115,115,16,117
G40617,Sankt Leonhard bei Freistadt,1133,800,37,763,115,261,93,175,17,102
G40618,Sankt Oswald bei Freistadt,2288,1484,57,1427,170,565,199,277,26,190
G40619,Schönau im Mühlkreis,1573,1169,46,1123,176,448,101,244,17,137
G40620,Tragwein,2435,1736,59,1677,257,516,256,286,27,335
G40621,Unterweißenbach,1811,1159,63,1096,145,488,66,251,16,130
G40622,Unterweitersdorf,1657,1214,32,1182,210,374,195,159,21,223
G40623,Waldburg,1077,775,18,757,142,233,71,138,9,164
G40624,Wartberg ob der Aist,3435,2200,81,2119,344,716,275,265,40,479
G40625,Weitersfelden,838,535,17,518,71,136,56,166,9,80
G40626,Windhaag bei Freistadt,1272,861,54,807,128,251,79,235,19,95
G40627,Bad Zell,2307,1633,88,1545,239,500,117,334,31,324
G40699,Wahlkarten - Freistadt,0,4578,127,4451,851,1102,557,671,86,1184
G40700,Gmunden,78364,55373,1649,53724,10094,17939,7307,6014,1107,11263
G40701,Altmünster,7777,4899,180,4719,877,1640,526,543,88,1045
G40702,Bad Goisern am Hallstättersee,6057,3322,109,3213,522,1109,611,242,91,638
G40703,Bad Ischl,10690,6207,164,6043,1188,1987,711,638,127,1392
G40704,Ebensee,6344,4002,134,3868,608,1275,774,330,96,785
G40705,Gmunden,9936,5556,118,5438,1178,1704,489,566,88,1413
G40706,Gosau,1457,982,38,944,128,325,242,105,36,108
G40707,Grünau im Almtal,1612,1039,34,1005,164,358,154,142,23,164
G40708,Gschwandt,2143,1386,43,1343,234,493,150,184,32,250
G40709,Hallstatt,604,416,17,399,72,85,100,19,5,118
G40710,Kirchham,1637,1012,35,977,137,370,52,266,19,133
G40711,Laakirchen,7152,4369,148,4221,652,1582,726,442,82,737
G40712,Obertraun,563,383,15,368,62,94,92,40,7,73
G40713,Ohlsdorf,4044,2518,84,2434,481,936,261,251,59,446
G40714,Pinsdorf,2936,1871,57,1814,334,708,246,145,46,335
G40715,Roitham,1614,973,34,939,184,348,127,117,17,146
G40716,Sankt Konrad,873,524,27,497,79,159,65,126,6,62
G40717,St. Wolfgang im Salzkammergut,2123,1297,38,1259,211,460,147,222,33,186
G40718,Traunkirchen,1337,810,17,793,179,214,84,111,17,188
G40719,Scharnstein,3733,2228,76,2152,407,723,289,289,36,408
G40720,Vorchdorf,5732,3602,102,3500,631,1439,418,375,66,571
G40799,Wahlkarten - Gmunden,0,7977,179,7798,1766,1930,1043,861,133,2065
G40800,Grieskirchen,50147,36959,1174,35785,5634,13876,3289,5891,597,6498
G40801,Aistersheim,661,442,11,431,70,176,40,74,5,66
G40802,Bad Schallerbach,3022,1811,44,1767,316,666,192,210,25,358
G40803,Bruck-Waasen,1910,1170,26,1144,218,436,54,212,22,202
G40804,Eschenau im Hausruckkreis,887,615,18,597,80,264,40,146,13,54
G40805,Gallspach,1877,1126,25,1101,152,478,104,149,23,195
G40806,Gaspoltshofen,2852,1843,81,1762,271,725,155,288,26,297
G40807,Geboltskirchen,1146,753,34,719,117,245,93,126,10,128
G40808,Grieskirchen,3519,2132,50,2082,343,787,209,236,36,471
G40809,Haag am Hausruck,1637,1053,32,1021,192,362,95,130,15,227
G40810,Heiligenberg,547,419,6,413,57,161,13,118,4,60
G40811,Hofkirchen an der Trattnach,1222,810,29,781,120,329,63,129,12,128
G40812,Kallham,2007,1279,30,1249,191,499,112,197,23,227
G40813,Kematen am Innbach,1040,699,14,685,113,316,61,100,19,76
G40814,Meggenhofen,1161,798,25,773,120,245,49,197,13,149
G40815,Michaelnbach,1033,670,32,638,88,264,51,140,15,80
G40816,Natternbach,1901,1306,37,1269,145,569,150,204,29,172
G40817,Neukirchen am Walde,1323,933,44,889,104,366,73,196,23,127
G40818,Neumarkt im Hausruckkreis,1095,608,15,593,91,243,79,68,11,101
G40819,Peuerbach,1760,1081,39,1042,159,411,73,158,13,228
G40820,Pötting,435,327,16,311,50,81,13,106,6,55
G40821,Pollham,787,494,14,480,84,178,15,88,2,113
G40822,Pram,1430,874,23,851,118,343,81,141,18,150
G40823,Rottenbach,820,554,18,536,65,271,39,80,5,76
G40824,St. Agatha,1753,1175,52,1123,166,445,83,254,18,157
G40825,St. Georgen bei Grieskirchen,1015,660,24,636,100,243,40,103,11,139
G40826,St. Thomas,423,309,13,296,35,130,17,56,8,50
G40827,Schlüßlberg,2412,1541,48,1493,219,590,238,159,20,267
G40828,Steegen,900,546,20,526,75,197,36,115,4,99
G40829,Taufkirchen an der Trattnach,1648,980,40,940,119,451,80,125,25,140
G40830,Tollet,734,513,9,504,79,150,54,97,15,109
G40831,Waizenkirchen,2881,1891,49,1842,289,738,137,366,27,285
G40832,Wallern an der Trattnach,2356,1576,33,1543,262,599,166,179,25,312
G40833,Weibern,1297,842,32,810,142,273,60,162,9,164
G40834,Wendling,656,441,20,421,70,176,14,100,6,55
G40899,Wahlkarten - Grieskirchen,0,4688,171,4517,814,1469,510,682,61,981
G40900,Kirchdorf an der Krems,43199,30495,871,29624,5332,10810,3406,4361,538,5177
G40901,Edlbach,512,306,8,298,66,90,28,72,8,34
G40902,Grünburg,2877,1643,61,1582,232,706,192,227,32,193
G40903,Hinterstoder,737,437,11,426,95,149,41,77,5,59
G40904,Inzersdorf im Kremstal,1505,978,38,940,144,367,76,171,16,166
G40905,Kirchdorf an der Krems,3221,1848,29,1819,322,555,243,212,27,460
G40906,Klaus an der Pyhrnbahn,839,573,14,559,83,185,147,66,5,73
G40907,Kremsmünster,4667,2895,81,2814,566,1035,226,399,56,532
G40908,Micheldorf in Oberösterreich,4457,2902,81,2821,523,964,411,290,48,585
G40909,Molln,2775,1739,56,1683,293,676,221,200,33,260
G40910,Nußbach,1807,1208,46,1162,186,389,99,277,12,199
G40911,Oberschlierbach,374,242,13,229,45,62,20,47,4,51
G40912,Pettenbach,3942,2318,80,2238,369,956,192,278,50,393
G40913,Ried im Traunkreis,2110,1348,40,1308,217,530,99,233,36,193
G40914,Rosenau am Hengstpaß,515,346,10,336,54,138,62,38,7,37
